Lunar month,Sex,No. of cases,Order,Body length (cm),Body weight (g),Greater wing bone of sphenoid,Greater wing bone of sphenoid width(mm),Lesser wing bone of sphenoid length (mm),Lesser wing bone of sphenoid width (mm),Sphenoid bone length (mm),Sphenoid bone width (mm),Petrous part length (mm),Petrous part width (mm),Basal part of Occipatal bone length (mm),Basal part of Occipital bone width (mm),"Lateral part, of occipital bone length (mm)","Lateral part, of occipital bone width (mm)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5,F,7,NA,27.3,441.4,17.3,9,8.1,6.1,5.9,10.5,16.8,9.6,8.3,6.4,10.4,5.8
