 lunarmonthold fetuses,Sex,No. of cases,Order of cases,Body length(cm),Body weight (g),Humerus Length (mm),Humerus Width (mm),Radius length (mm),Ulna length (mm),Femur Length (mm),Femur Width (mm),Tibia length (mm),Fibula length (mm)
9.5,F,4.0,125,48.0,2510,61.0,17.5,48.0,56.1,70.5,19.3,61.0,59.0
9.5,F,5.0,126,48.0,2460,55.0,16.5,51.0,58.0,73.0,17.0,63.0,60.0
9.5,F,6.0,127,48.0,3400,60.5,15.2,47.7,56.7,72.3,20.5,61.9,60.0
9.5,F,7.0,128,48.0,3450,60.5,15.2,49.9,57.3,73.5,19.6,64.0,60.0
10.0,M,1.0,129,50.0,2700,62.0,15.0,51.0,58.0,69.0,19.0,60.0,58.0
10.0,M,2.0,130,50.0,2650,61.6,16.6,47.5,55.0,72.1,20.0,62.8,60.4
10.0,M,3.0,131,50.0,3150,62.6,16.0,51.6,58.5,71.0,20.8,61.5,60.0
10.0,M,4.0,132,55.0,4120,70.0,19.0,58.0,66.5,79.0,22.0,71.5,68.5
10.0,F,5.0,133,51.0,3100,63.0,16.0,50.0,58.0,74.0,18.0,64.0,59.0
10.0,F,6.0,134,52.0,3180,65.0,17.0,51.5,60.0,75.5,20.0,66.0,63.5
10.0,F,7.0,135,51.0,3410,65.3,17.3,51.0,60.0,75.8,18.6,66.1,61.8
10.0,F,8.0,136,52.0,3000,67.5,16.7,52.8,59.2,78.7,19.4,68.0,64.0
10.0,F,9.0,137,53.0,3000,67.0,17.0,51.0,57.5,75.7,20.2,66.0,61.0
10.0,F,10.0,138,53.0,3100,67.3,18.0,53.3,60.0,76.7,21.0,68.7,64.0
